,FLAG_TSUNAMI,YEAR,FOCAL_DEPTH,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,POPULATION
66,No,1962,,5.5,7,CHINA,CHINA:  YUNNAN PROVINCE,23.6,106.1,30,,,,,,1,,,,,665770000
67,Yes,1962,60,,,JAPAN,"SE. HOKKAIDO ISLAND, JAPAN",42.2,143.9,30,,,,,,,,,,,95832000
68,No,1962,,5.3,8,FRANCE,"FRANCE:  CORRENCON,CHATEAU-BERNARD,LE GUA,RENCUREL",45,5.6,120,,,,,,2,,,,,47904877
69,No,1962,104,6.8,,JAPAN,JAPAN:  HONSHU:  SENDAI,38.8,140.9,30,1,1,,,3,2,,,,,95832000
70,Yes,1962,40,7,8,MEXICO,MEXICO:  S,17.2,-99.6,150,4,1,,,3,2,,2,,,40195319
71,Yes,1962,33,7.2,,MEXICO,MEXICO:  S,17.2,-99.5,150,3,1,,16,1,2,,2,,,40195319
72,No,1962,,6.8,,CHINA,CHINA:  QINGHAI PROVINCE,37.1,96,40,,,,,,1,,1,,1,665770000
73,Yes,1962,60,5.7,,JAPAN,JAPAN:  OFF COAST OF HONSHU ISLAND,41.8,142.4,30,,,,,,,,,,,95832000
74,Yes,1962,,4.5,5,GREECE,GREECE:  AEGEAN SEA,39.8,25,130,,,,,,,,,,,8448233
75,No,1962,,6.3,,BOSNIA-HERZEGOVINA,BALKANS NW:  BOSNIA-HERZEGOVINA,43.6,18.3,130,,,,,,4,,,,,0
76,No,1962,18,6.2,7,CHINA,CHINA:   YUNNAN PROVINCE,25.2,101.2,30,,,,,,3,2550,4,,,665770000
77,No,1962,21,7.4,,PANAMA,PANAMA,7.5,-82,100,,,,,,2,,,,,1202449
78,No,1962,69,6.8,,COLOMBIA,"COLOMBIA:  MISTRATO, MANIZALES",5.2,-76.4,160,47,1,,300,3,3,,,,3,17092918
79,No,1962,,6.4,8,CHINA,CHINA:  XINJIANG,44.68,81.58,40,,,,,,1,,1,,,665770000
80,No,1962,34,6.1,,ITALY,ITALY:  S,41.4,15.5,130,16,1,,,,2,,,,,50879450
81,No,1962,100,6.8,,GREECE,GREECE:  S,37.8,22.9,130,1,1,,,,2,,,,,8448233
